mu_DM,sigma_DM,A_phys
9.0,0.6060606060606061,0.6084582906120203
9.0,0.6464646464646465,0.5805891856282741
9.0,0.6666666666666667,0.567369155881843
9.0,0.6262626262626263,0.5942832562432632
9.0,0.6161616161616162,0.601310362322187
9.0,0.6363636363636365,0.5873764529436674
9.0,0.6565656565656566,0.5739204742479859
9.0,0.5353535353535354,0.6618485556554301
9.0,0.5454545454545455,0.6538703921046519
9.0,0.5252525252525253,0.6699371172706183
9.0,0.5151515151515152,0.6781319940971853
9.0,0.7171717171717172,0.5363231186591154
9.0,0.494949494949495,0.6948197655731061
9.0,0.5656565656565657,0.6382576834444739
9.0,0.48484848484848486,0.7032995652829266
9.0,0.7070707070707072,0.5423095850285757
9.0,0.696969696969697,0.548405733311375
9.0,0.4646464646464647,0.7204890613162257
9.0,0.6767676767676768,0.5609339117628716
9.0,0.4141414141414142,0.7642329778780823
9.0,0.4040404040404041,0.7729820398969026
9.0,0.38383838383838387,0.7903040322421333
9.0,0.37373737373737376,0.7988214185925465
9.0,0.36363636363636365,0.8072015051917761
9.0,0.3434343434343435,0.8234089963781686
9.0,0.32323232323232326,0.8386209631218373
9.0,0.33333333333333337,0.831159844875045
9.0,0.2828282828282829,0.8647182632099594
9.0,0.30303030303030304,0.8525033110353699
9.0,0.29292929292929293,0.8588394228725234
9.0,0.27272727272727276,0.8701041893784177
9.0,0.42424242424242425,0.7554578315813447
9.0,0.26262626262626265,0.874968016802746
9.0,0.25252525252525254,0.8792896091611466
9.0,0.24242424242424243,0.883060697683059
9.0,0.23232323232323235,0.886287736022137
9.0,0.17171717171717174,0.896885222225805
9.0,0.22222222222222224,0.8889944853935647
9.0,0.21212121212121213,0.8912239046847515
9.0,0.20202020202020204,0.893038824091625
9.0,0.19191919191919193,0.8945208649985228
9.0,0.18181818181818182,0.8957672121065151
9.0,0.14141414141414144,0.9005487882703421
9.0,0.4545454545454546,0.7291777333429702
9.0,0.15151515151515152,0.8991745140625794
9.0,0.11111111111111112,0.9064780523200934
9.0,0.10101010101010102,0.9090967913739865
9.0,0.13131313131313133,0.9021899616783762
9.0,0.12121212121212122,0.9041586080861795
9.0,0.09090909090909091,0.9118242995096527
9.0,0.020202020202020204,0.9255622241384939
9.0,0.07070707070707072,0.9158161093554471
9.0,0.030303030303030304,0.9146351822225225
9.0,0.06060606060606061,0.9158943920666376
9.0,0.5757575757575758,0.6306276570627253
9.0,0.08080808080808081,0.9142632940088306
9.0,0.05050505050505051,0.9144689863617858
9.0,0.04040404040404041,0.9129645602547478
9.0,0.010101010101010102,1.0380753757261385
9.0,0.0,
9.0,0.5858585858585859,0.6231172207115246
9.0,0.4747474747474748,0.7118592457767751
9.0,0.5555555555555556,0.6460059101354145
9.0,0.43434343434343436,0.7466779373854057
9.0,0.3535353535353536,0.8154097386878575
9.0,0.393939393939394,0.781681199442648
9.0,0.5050505050505051,0.6864282055477379
9.0,0.595959595959596,0.6157272749390584
9.0,0.686868686868687,0.5546132912866872
9.0,0.16161616161616163,0.8979854721715956
9.0,0.4444444444444445,0.7379122963605772
9.0,0.31313131313131315,0.8457497713104961
9.0,0.8383838383838385,0.47236185160269867
9.0,0.8787878787878789,0.4539294449763236
9.0,0.7474747474747475,0.5190037064074222
9.0,0.888888888888889,0.44952098711402777
9.0,0.787878787878788,0.49733413851653985
9.0,0.9090909090909092,0.4409316425811859
9.0,0.7373737373737375,0.5246720324427218
9.0,0.7575757575757577,0.5134376714282296
9.0,0.7676767676767677,0.5079720139711349
9.0,0.7777777777777778,0.5026048113598681
9.0,0.7272727272727273,0.5304445462019556
9.0,0.8585858585858587,0.4629824281854116
9.070707070707071,0.26262626262626265,0.8750148011118077
9.0,0.797979797979798,0.49215807382686283
9.0,0.8080808080808082,0.48707470422653326
9.070707070707071,0.32323232323232326,0.83866703583903
9.070707070707071,0.393939393939394,0.7817248953763015
9.0,0.8181818181818182,0.48208212959513125
9.070707070707071,0.3434343434343435,0.8234545094778701
9.0,0.8282828282828284,0.477178466534794
9.0,0.8484848484848485,0.4676304440590082
9.0,0.8686868686868687,0.4584160152234179
9.0,0.8989898989898991,0.4451889422156619
9.070707070707071,0.38383838383838387,0.7903481267441534
9.070707070707071,0.33333333333333337,0.8312056532023941
9.070707070707071,0.030303030303030304,0.9146884314213913
9.070707070707071,0.4040404040404041,0.7730253250163142
9.0,0.9292929292929294,0.43263477037969983
9.070707070707071,0.15151515151515152,0.8992175510364672
9.0,0.9191919191919192,0.4367474528397667
9.0,0.9393939393939394,0.42859202562195836
9.070707070707071,0.3535353535353536,0.8154549294376476
9.0,0.9494949494949496,0.4246176821570021
9.0,0.9595959595959597,0.42071023676240155
9.0,0.9696969696969697,0.41686821931680684
9.070707070707071,0.37373737373737376,0.7988658969424312
9.0,0.98989898989899,0.4093747521603735
9.0,0.9797979797979799,0.41309019262414626
